,284
AIA,11
ALB,41
AND,26
ARE,49
ARG,56
AUS,8
AUT,44
AZE,21
BEL,56
BGD,28
BGR,56
BHR,62
BLR,53
BMU,37
BOL,15
BRA,38
BRB,7
CAN,46
CHE,25
CHL,61
CHN,57
COL,7
CRI,61
CYM,57
CYP,46
CZE,57
DEU,58
DNK,57
DOM,7
DZA,22
ECU,28
EGY,7
ESP,49
EST,57
FIN,53
FLK,9
FRA,57
FRO,24
GBR,71
GGY,22
GIB,43
GRC,57
GUY,12
HRV,55
HUN,57
IDN,40
IMN,33
IND,39
IRL,51
IRN,10
ISL,55
ISR,66
ITA,58
JEY,22
JPN,6
KHM,11
KWT,50
LBN,10
LIE,15
LKA,26
LTU,58
LUX,54
LVA,53
MAC,11
MAR,26
MCO,20
MDV,20
MEX,61
MLT,36
MMR,8
MUS,24
NLD,47
NOR,57
NPL,26
NZL,3
OMN,57
OWID_EUN,58
OWID_NCY,9
OWID_WRL,72
PAK,20
PAN,35
PER,14
POL,57
PRT,58
QAT,59
ROU,57
RUS,58
SAU,44
SGP,39
SRB,38
SVK,50
SVN,57
SWE,55
SYC,44
TCA,30
TUR,41
USA,65
ZAF,7
